Session,Match Number,Venue,Date and Time,Winning Team,First Team,Second Team,Link
2023,MATCH 51,"Narendra Modi Stadium, Ahmedabad","MAY, SUN 7 , 3:30 pm IST",GUJARAT TITANS WON BY 56 RUNS,Gujarat Titans 227/2 (20.0 OV),Lucknow Super Giants 171/7 (20.0 OV ),https://www.iplt20.com/match/2023/906
2023,MATCH 50,"Arun Jaitley Stadium, Delhi","MAY, SAT 6 , 7:30 pm IST",DELHI CAPITALS WON BY 7 WICKETS,Delhi Capitals 187/3 (16.4 OV),Royal Challengers Bengaluru 181/4 (20.0 OV ),https://www.iplt20.com/match/2023/905
2023,MATCH 49,"MA Chidambaram Stadium, Chennai","MAY, SAT 6 , 3:30 pm IST",CHENNAI SUPER KINGS WON BY 6 WICKETS,Chennai Super Kings 140/4 (17.4 OV),Mumbai Indians 139/8 (20.0 OV ),https://www.iplt20.com/match/2023/904
2023,MATCH 48,"Sawai Mansingh Stadium, Jaipur","MAY, FRI 5 , 7:30 pm IST",GUJARAT TITANS WON BY 9 WICKETS,Rajasthan Royals 118 (17.5 OV),Gujarat Titans 119/1 (13.5 OV ),https://www.iplt20.com/match/2023/903
2023,MATCH 47,"Rajiv Gandhi International Stadium, Hyderabad","MAY, THU 4 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 RUNS,Sunrisers Hyderabad 166/8 (20.0 OV),Kolkata Knight Riders 171/9 (20.0 OV ),https://www.iplt20.com/match/2023/902
2023,MATCH 46,"Punjab Cricket Association IS Bindra Stadium, Mohali","MAY, WED 3 , 7:30 pm IST",MUMBAI INDIANS WON BY 6 WICKETS,Punjab Kings 214/3 (20.0 OV),Mumbai Indians 216/4 (18.5 OV ),https://www.iplt20.com/match/2023/900
2023,MATCH 45,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","MAY, WED 3 , 3:30 pm IST",NO RESULT,Lucknow Super Giants 125/7 (19.2 OV),Chennai Super Kings,https://www.iplt20.com/match/2023/901
2023,MATCH 44,"Narendra Modi Stadium, Ahmedabad","MAY, TUE 2 , 7:30 pm IST",DELHI CAPITALS WON BY 5 RUNS,Gujarat Titans 125/6 (20.0 OV),Delhi Capitals 130/8 (20.0 OV ),https://www.iplt20.com/match/2023/899
2023,MATCH 43,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","MAY, MON 1 , 7:30 pm IST",ROYAL CHALLENGERS BENGALURU WON BY 18 RUNS,Lucknow Super Giants 108 (19.5 OV),Royal Challengers Bengaluru 126/9 (20.0 OV ),https://www.iplt20.com/match/2023/898
2023,MATCH 42,"Wankhede Stadium, Mumbai","APR, SUN 30 , 7:30 pm IST",MUMBAI INDIANS WON BY 6 WICKETS,Mumbai Indians 214/4 (19.3 OV),Rajasthan Royals 212/7 (20.0 OV ),https://www.iplt20.com/match/2023/897
